text,label
꽃다발사들고 무릎꿇고 알바하는곳찾아가서 '내 마음을 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 존나좋아함,1
꽃다발사들고 알바하는곳찾아가서 무릎꿇고 '내 마음을 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 존나좋아함,1
박근혜 안빠는데 3원칙 보수통합 인정함,1
박근혜 안빠는데 인정함 3원칙 보수통합,1
안빠는데 보수통합 3원칙 인정함 박근혜,1
박근혜 안빠는데 보수통합 3원칙 인정함,1
대가리에 필터없는 연봉 30억 용접공 없는 강사vs대가리가,1
30억 필터없는 연봉 대가리에 강사vs대가리가 없는 용접공,1
대가리에 연봉 필터없는 30억 강사vs대가리가 없는 용접공,1
대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공,1
자부심이 라고하는걸 비하라고 느낀다면 본인조차 직업에 백정주제에 없는건데,0
백정주제에 비하라고 느낀다면 본인조차 직업에 자부심이 없는건데 라고하는걸,0
백정주제에 라고하는걸 비하라고 본인조차 느낀다면 직업에 자부심이 없는건데,0
백정주제에 라고하는걸 비하라고 느낀다면 본인조차 직업에 자부심이 없는건데,0
탓이랑께 다 백인 이게,0
이게 백인 탓이랑께 다,0
다 백인 탓이랑께 이게,0
이게 다 백인 탓이랑께,0
뭐저런 골빈 불쌍 다있냐 ㅋㅋㅋ 저런게 학원강사라고? 애들이 ㄴ이,1
뭐저런 골빈 ㄴ이 불쌍 ㅋㅋㅋ 저런게 학원강사라고? 애들이 다있냐,1
ㅋㅋㅋ 골빈 ㄴ이 다있냐 뭐저런 저런게 학원강사라고? 애들이 불쌍,1
뭐저런 골빈 ㄴ이 다있냐 ㅋㅋㅋ 저런게 학원강사라고? 애들이 불쌍,1
마감시간 둔갑해서 사먹으면 고기 떨이하는 식중독 518퍼네아 오래 된 것도 새 거처럼 다돼서 다음날 팔테니 떨이라는 개념이 아예 없을라나,0
마감시간 것도 다돼서 고기 사먹으면 식중독 518퍼네아 오래 된 떨이하는 새 거처럼 둔갑해서 다음날 팔테니 떨이라는 개념이 아예 없을라나,0
마감시간 다돼서 떨이하는 고기 없을라나 식중독 오래 518퍼네아 된 것도 새 거처럼 둔갑해서 다음날 팔테니 떨이라는 개념이 아예 사먹으면,0
마감시간 다돼서 떨이하는 고기 사먹으면 식중독 518퍼네아 오래 된 것도 새 거처럼 둔갑해서 다음날 팔테니 떨이라는 개념이 아예 없을라나,0
열사발 아깝지 들이켜도 않음,0
들이켜도 열사발 아깝지 않음,0
열사발 들이켜도 않음 아깝지,0
열사발 들이켜도 아깝지 않음,0
천국이구나 정신병자,1
정신병자 천국이구나,1
으따 옷 이딴건 없당깨 현금으로 달랑깨 ! 필요,0
으따 옷 이딴건 달랑깨 없당깨 현금으로 필요 !,0
으따 옷 이딴건 필요 없당깨 현금으로 달랑깨 !,0
?,0
난 사이트 마다 아이디/비번 다 다르고 난이도 높음엑셀 파일에 모든 아이디/비번 / 계좌정보 기억함 다 들어 등등 엑셀 파일에 비번만 있고이,0
들어 사이트 마다 아이디/비번 다 다르고 난이도 높음엑셀 파일에 있고이 아이디/비번 / 계좌정보 등등 다 난 모든 엑셀 파일에 비번만 기억함,0
난 사이트 마다 아이디/비번 다 다르고 파일에 높음엑셀 난이도 모든 아이디/비번 / 계좌정보 등등 다 들어 있고이 기억함 파일에 비번만 엑셀,0
난 사이트 마다 아이디/비번 다 다르고 난이도 높음엑셀 파일에 모든 아이디/비번 / 계좌정보 등등 다 들어 있고이 엑셀 파일에 비번만 기억함,0
깍새들이 존나강요하더라 시발,1
깍새들이 존나강요하더라 시발,1
깍새들이 시발 존나강요하더라,1
리뷰쓴 새끼가 악랄하게 맞지저건 ㅋㅋㅋ 존나 쓰레기 사진찍어 올리는데,1
리뷰쓴 새끼가 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데 쓰레기,1
리뷰쓴 새끼가 쓰레기 맞지저건 존나 악랄하게 사진찍어 올리는데 ㅋㅋㅋ,1
리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데,1
ㅋㅋ ㅇㅈ 앉아어 저런거에 감전사 당할 수도,0
ㅋㅋ ㅇㅈ 감전사 앉아어 저런거에 당할 수도,0
ㅋㅋ ㅇㅈ 저런거에 앉아어 감전사 당할 수도,0
틀딱 냄새나니까 다꺼져라 씨발새끼들아,1
틀딱 다꺼져라 씨발새끼들아 냄새나니까,1
틀딱 씨발새끼들아 냄새나니까 다꺼져라,1
틀딱 씨발새끼들아 다꺼져라 냄새나니까,1
근데 그것 트렌드 살짝 요즘 지났더라.,0
근데 그것 요즘 트렌드 살짝 지났더라.,0
근데 지났더라. 요즘 살짝 트렌드 그것,0
근데 그것 요즘 살짝 트렌드 지났더라.,0
군대에서 필요한가 여군이,0
여군이 군대에서 필요한가,0
여군이 필요한가 군대에서,0
군대에서 여군이 필요한가,0
ㅋㅋ복수할겨,0
내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 병신새끼야. 돼,1
내가 새끼는 안내면 너 같은 동사무소에서 프린트나 하는 세금 월급 못받고 굶어 뒈져야 돼 병신새끼야.,1
내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 굶어 못받고 뒈져야 돼 병신새끼야.,1
내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 돼 병신새끼야.,1
면도 뭔 스머프모자 쓰고왓네,0
면도 뭔 쓰고왓네 스머프모자,0
면도 뭔 스머프모자 쓰고왓네,0
예지! 사형,0
사형 예지!,0
당연히 많이볼수밖에...,0
많이볼수밖에... 당연히,0
당연히 많이볼수밖에...,0
ㅋㅋㅋㅋㅋㅋㅋㅋ 흑종원,0
흑종원 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
=> 난 적 말 한 그런 없는데? ㅋㅋㅋㅎㅎㅋㅋㅋ왜 거짓말하노? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
=> 적 그런 말 한 난 없는데? ㅋㅋㅋㅎㅎㅋㅋㅋ왜 거짓말하노? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
=> 난 그런 없는데? 한 적 말 ㅋㅋㅋㅎㅎㅋㅋㅋ왜 거짓말하노? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
=> 난 그런 말 한 적 없는데? ㅋㅋㅋㅎㅎㅋㅋㅋ왜 거짓말하노? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
원래 그래 수준이,1
그래 수준이 원래,1
원래 수준이 그래,1
못한존재라던데ㅋㅋ 남자들이 동물보다 호주에서는,0
남자들이 동물보다 못한존재라던데ㅋㅋ 호주에서는,0
호주에서는 남자들이 동물보다 못한존재라던데ㅋㅋ,0
나베했네요! 나베가,0
나베가 나베했네요!,0
전에 제주도 여행 다 폭포 앞에 사진 잘나오는 포토존에서 싶어 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 모여서 가면서 둘이나 셋이서 짝 지어서 찍음 정말 끝나서 사진 찍을려고 하니 그 6명이 갔는데 번갈아 포즈 바꿔가면서 사진 찍음이지랄 하고 있음 또,1
전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 찍을려고 찍는거 기다렸는데 짝 6명의 짱게이 때문에 짜증남먼저 6명 다 한장씩 찍음다음 번갈아 하고 둘이나 셋이서 앞의 지어서 찍음 정말 끝나서 싶어 사진 하니 그 6명이 각자 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 가면서 있음,1
전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 둘이나 찍음 각자 한장씩 찍음다음 번갈아 그 때문에 셋이서 짝 지어서 짜증남먼저 정말 끝나서 싶어 찍을려고 하니 가면서 6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음 6명,1
전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 번갈아 가면서 둘이나 셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그 6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음,1
행함이 없어도 불경건한 그의 의롭다 하시는 그분을 믿는 사람에게는 자를 믿음이 의로 여겨지느니라.,0
행함이 없어도 불경건한 자를 의롭다 하시는 그분을 의로 사람에게는 그의 믿음이 믿는 여겨지느니라.,0
하시는 없어도 불경건한 자를 의롭다 행함이 그분을 믿는 사람에게는 그의 믿음이 의로 여겨지느니라.,0
행함이 없어도 불경건한 자를 의롭다 하시는 그분을 믿는 사람에게는 그의 믿음이 의로 여겨지느니라.,0
말하는 거임? 짱깨국이 무상의료라고? 짱깨들,1
짱깨들 말하는 무상의료라고? 짱깨국이 거임?,1
짱깨들 말하는 거임? 무상의료라고? 짱깨국이,1
짱깨들 말하는 거임? 짱깨국이 무상의료라고?,1
방법을 가르쳐주시면 ㅠㅜ 빡대가리들에게,1
가르쳐주시면 방법을 빡대가리들에게 ㅠㅜ,1
빡대가리들에게 방법을 가르쳐주시면 ㅠㅜ,1
뭐래냐? 누가,0
누가 뭐래냐?,0
몸쓰는일 정작 지네들 자식은 시발 안시킬거면서 개지랄떠네 ㅋㅋㅋ,1
ㅋㅋㅋ 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 시발,1
시발 정작 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ 지네들,1
시발 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ,1
용접협회 무시하지 마라. 저기 현장 용접에 고수및 관한 전문지식 가진 대학 교수 학자들 모임이다. 파워력 쎄다.,0
용접협회 무시하지 마라. 저기 현장 고수및 용접에 관한 전문지식 가진 대학 파워력 학자들 모임이다. 교수 쎄다.,0
무시하지 용접협회 마라. 저기 현장 고수및 용접에 관한 전문지식 가진 대학 교수 학자들 모임이다. 파워력 쎄다.,0
용접협회 무시하지 마라. 저기 현장 고수및 용접에 관한 전문지식 가진 대학 교수 학자들 모임이다. 파워력 쎄다.,0
해 너도,0
너도 해,0
안하는 애들도 결국 학업에 흥미를 느꼈다는거니까 못,0
안하는 애들도 결국 학업에 못 느꼈다는거니까 흥미를,0
안하는 애들도 결국 학업에 흥미를 못 느꼈다는거니까,0
니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 중국도 닭이 친중하면 빠는새끼들임 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ,1
니들 틀딱들 닭빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ 진빨고,1
니들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ 틀딱들,1
니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ,1
홀딩하세요 그냥,0
그냥 홀딩하세요,0
만 공식화도 나이,0
만 나이 공식화도,0
꼴리지는 않고 그냥 귀엽다 존나,1
꼴리지는 그냥 존나 귀엽다 않고,1
꼴리지는 않고 존나 귀엽다 그냥,1
꼴리지는 않고 그냥 존나 귀엽다,1
그냥 선거철에 지 지지자 결집시키는거임 지지층엔 자기 아시아인이 별로 없고 이민자들 싫어하는 사람들이 대부분이니까,0
그냥 선거철에 사람들이 지지자 결집시키는거임 자기 지지층엔 아시아인이 별로 없고 이민자들 싫어하는 지 대부분이니까,0
그냥 선거철에 지 지지자 결집시키는거임 이민자들 지지층엔 아시아인이 별로 없고 자기 싫어하는 사람들이 대부분이니까,0
그냥 선거철에 지 지지자 결집시키는거임 자기 지지층엔 아시아인이 별로 없고 이민자들 싫어하는 사람들이 대부분이니까,0
앎? 뭔진 오마쥬가,0
오마쥬가 앎? 뭔진,0
오마쥬가 뭔진 앎?,0
성공 4카,0
4카 성공,0
휴지통으로 쓰레기들은,0
쓰레기들은 휴지통으로,0
크로캅이 본야스키 ㅋ 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 개털던거,1
크로캅이 생각나네 개털던거 본야스키 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,1
크로캅이 잡아팼지 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 본야스키 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,1
크로캅이 본야스키 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,1
용팔이,0
그러니깐 쑤셔박아야한다는거지? 딜도로,1
쑤셔박아야한다는거지? 딜도로 그러니깐,1
그러니깐 딜도로 쑤셔박아야한다는거지?,1
그래서 씨발롬아 PC가 나쁘다는 거야 거야? 좋다는,1
그래서 씨발롬아 PC가 거야 나쁘다는 좋다는 거야?,1
그래서 씨발롬아 PC가 나쁘다는 거야? 좋다는 거야,1
그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?,1
미쳤나 시발 진짜,1
시발 진짜 미쳤나,1
진짜 미쳤나 시발,1
미쳤나 진짜 시발,1
"너희 키 누가 사람들끼리있을때 183인데 자기키 177이라하면 나는 ""어? 내키는 175인데?""해주면 주변사람들이 오오 나 둘이 키재봐라 하는데 키재면 내가 더큼 ㅋㅋㅋ 슬퍼하는모습보는거 개꿀잼",0
"나 키 183인데 사람들끼리있을때 누가 하는데 177이라하면 나는 ""어? 내키는 175인데?""해주면 주변사람들이 오오 너희 둘이 키재봐라 자기키 키재면 슬퍼하는모습보는거 더큼 ㅋㅋㅋ 내가 개꿀잼",0
"나 사람들끼리있을때 183인데 키 누가 자기키 177이라하면 나는 ""어? 내키는 175인데?""해주면 주변사람들이 오오 너희 둘이 키재봐라 개꿀잼 키재면 내가 더큼 ㅋㅋㅋ 슬퍼하는모습보는거 하는데",0
"나 키 183인데 사람들끼리있을때 누가 자기키 177이라하면 나는 ""어? 내키는 175인데?""해주면 주변사람들이 오오 너희 둘이 키재봐라 하는데 키재면 내가 더큼 ㅋㅋㅋ 슬퍼하는모습보는거 개꿀잼",0
아..이분 볼때마다 뭉클해지네 심장이,0
볼때마다 아..이분 심장이 뭉클해지네,0
아..이분 볼때마다 심장이 뭉클해지네,0
ㄹㅇ 시위 진압 ㅆㅅㅌㅊ였음,0
ㅆㅅㅌㅊ였음 시위 진압 ㄹㅇ,0
ㄹㅇ 시위 ㅆㅅㅌㅊ였음 진압,0
ㄹㅇ 시위 진압 ㅆㅅㅌㅊ였음,0
니 와그라노 정재야,0
와그라노 니 정재야,0
정재야 니 와그라노,0
뭔가 천황으로 문희상 천황드립이란 소린 문희상이 잘못이해한거같은데 아니라(애초에 빌미를 말해서 일왕이라고 함) 지금 천황이 전범 아들이니까 위안부에게 직접 사과시켜야한다는 말이 불러올 파장을 생각도 못하고 경솔하게 대처해서 잘못했다는게 줬다는 말이야,0
뭔가 잘못이해한거같은데 문희상 천황드립이란 소린 문희상이 천황으로 말해서 잘못했다는게 파장을 일왕이라고 함) 지금 천황이 전범 아들이니까 위안부에게 직접 사과시켜야한다는 말이 불러올 생각도 경솔하게 못하고 아니라(애초에 대처해서 빌미를 줬다는 말이야,0
아들이니까 잘못이해한거같은데 문희상 천황드립이란 소린 문희상이 천황으로 잘못했다는게 아니라(애초에 일왕이라고 함) 지금 천황이 전범 뭔가 위안부에게 직접 사과시켜야한다는 말이 불러올 파장을 빌미를 못하고 경솔하게 대처해서 생각도 줬다는 말이야 말해서,0
뭔가 잘못이해한거같은데 문희상 천황드립이란 소린 문희상이 천황으로 말해서 잘못했다는게 아니라(애초에 일왕이라고 함) 지금 천황이 전범 아들이니까 위안부에게 직접 사과시켜야한다는 말이 불러올 파장을 생각도 못하고 경솔하게 대처해서 빌미를 줬다는 말이야,0
단순하게 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 진짜 기분 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ 좋은것보다,1
재소자 몇시간씩 할 정도면 히로뽕맞고 기분 뽕쟁이 진짜 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 하는거일수도있다경교대있을때 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,1
진짜 몇시간씩 목적이 정도면 의무실간다고 하는거일수도있다경교대있을때 뽕쟁이 재소자 히로뽕맞고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 할 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,1
진짜 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,1
"휴게소, 마트 등의 여성전용주차장 해야지 분노를 보고",0
"휴게소, 마트 분노를 여성전용주차장 보고 등의 해야지",0
"휴게소, 해야지 등의 여성전용주차장 보고 분노를 마트",0
"휴게소, 마트 등의 여성전용주차장 보고 분노를 해야지",0
질렀으면 끝을 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 그담 내가 너 좋와하면 안되냐 잡고 허리띠를 풀고....,1
질렀으면 풀고.... 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 잡고 내가 너 좋와하면 안되냐 그담 허리띠를 끝을,1
질렀으면 끝을 봐야지 좋와하면 만나자해서 이야기해라 머리채 잡고 내가 너 ㅆㅂ 안되냐 그담 허리띠를 풀고....,1
질렀으면 끝을 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 잡고 내가 너 좋와하면 안되냐 그담 허리띠를 풀고....,1
앞머리 좀 ㅅㅂ 자르던가,1
앞머리 자르던가 ㅅㅂ 좀,1
좀 앞머리 자르던가 ㅅㅂ,1
앞머리 좀 자르던가 ㅅㅂ,1
ㅋㅋㅋ 그런거야? 아,0
그런거야? ㅋㅋㅋ 아,0
아 그런거야? ㅋㅋㅋ,0
된다는놈일거야 영혼까지팔아도,0
영혼까지팔아도 된다는놈일거야,0
잡을놈이ㅋㅋ 조언했으면 멱살부터 그때,1
그때 멱살부터 잡을놈이ㅋㅋ 조언했으면,1
조언했으면 멱살부터 잡을놈이ㅋㅋ 그때,1
그때 조언했으면 멱살부터 잡을놈이ㅋㅋ,1
남친이노?,0
진주네요...여기 동네에 욕만 살았는데...여기 주차 장난아닙니다.....그냥 잠시 나오죠...,0
진주네요...여기 주차 잠시 살았는데...여기 동네에 장난아닙니다.....그냥 욕만 나오죠...,0
진주네요...여기 동네에 잠시 살았는데...여기 장난아닙니다.....그냥 주차 욕만 나오죠...,0
진주네요...여기 동네에 잠시 살았는데...여기 주차 장난아닙니다.....그냥 욕만 나오죠...,0
대구경북 당선조건 : 매국노,1
대구경북 당선조건 매국노 :,1
대구경북 당선조건 매국노 :,1
대구경북 당선조건 : 매국노,1
개찐따 ㅋㅋㅋㅋㅋㅋ 답네,1
답네 개찐따 ㅋㅋㅋㅋㅋㅋ,1
개찐따 답네 ㅋㅋㅋㅋㅋㅋ,1
노가다 다니기 싫으면 노력해서 살지 그랬냐 알고 ㅋㅋ니들 어릴적 보람도 할만한 ㅎㅌㅊ가 되니까 그나마 용접사였냐?상황이 용접이나 한거고 하다보니 돈도 되고 존나 힘든데 꿈이 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 주제를 틀딱들아 살자,1
노가다 다니기 한거고 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 꿈이 용접사였냐?상황이 ㅎㅌㅊ가 되니까 그나마 할만한 용접이나 싫으면 하다보니 돈도 되고 존나 힘든데 주제를 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 보람도 알고 살자 어릴적,1
노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 본데노가다는 꿈이 노가다임 ㅎㅌㅊ가 되니까 그나마 할만한 보람도 한거고 하다보니 돈도 되고 존나 힘든데 용접이나 느끼니까 사람된것처럼 느끼나 어릴적 용접사였냐?상황이 주제를 알고 살자,1
노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 어릴적 꿈이 용접사였냐?상황이 ㅎㅌㅊ가 되니까 그나마 할만한 용접이나 한거고 하다보니 돈도 되고 존나 힘든데 보람도 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 주제를 알고 살자,1
회장도 보냈잖아. 피파,0
피파 보냈잖아. 회장도,0
피파 회장도 보냈잖아.,0
"우리나라였으면 집해유예, 엄마 20년 때릴것같네요. 아님말구... 남성1년",0
"우리나라였으면 남성1년 엄마 집해유예, 20년 때릴것같네요. 아님말구...",0
"엄마 남성1년 집해유예, 우리나라였으면 20년 때릴것같네요. 아님말구...",0
"우리나라였으면 남성1년 집해유예, 엄마 20년 때릴것같네요. 아님말구...",0
와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 일부 선진국이 될수 있는 나라가 놀음 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 저런 하고 있는거잖여,1
와 석유 그 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 새끼들이 일부 나라가 나는 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여,1
와 석유 나는 나라의 위엄이 놀음 저런거로구나. 근데 독점하려고 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 저런 차도르 씌우고 전쟁광 바로 하고 있는거잖여,1
와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여,1
가봤는데 11만원정도면 호텔뷔페감호텔뷔페에 걍 차라리 랍스터가없는것도 아니고 그냥그랫음,0
11만원정도면 가봤는데 차라리 걍 호텔뷔페감호텔뷔페에 랍스터가없는것도 아니고 그냥그랫음,0
가봤는데 11만원정도면 차라리 걍 아니고 랍스터가없는것도 호텔뷔페감호텔뷔페에 그냥그랫음,0
가봤는데 11만원정도면 차라리 걍 호텔뷔페감호텔뷔페에 랍스터가없는것도 아니고 그냥그랫음,0
나 안동김씨,0
새로오면 다 그렇게함 젖어살았던거 하는티를 팍팍내고 뭐 바꾸고 뭐하기로 하자 압박을 주잖냐 10년간 너무 타성에 열심히 아니냐? 위기감없이,0
새로오면 다 그렇게함 열심히 하는티를 팍팍내고 뭐 바꾸고 뭐하기로 하자 압박을 주잖냐 10년간 타성에 너무 젖어살았던거 아니냐? 위기감없이,0
새로오면 다 그렇게함 열심히 하는티를 팍팍내고 뭐 바꾸고 10년간 하자 압박을 주잖냐 뭐하기로 너무 타성에 젖어살았던거 아니냐? 위기감없이,0
새로오면 다 그렇게함 열심히 하는티를 팍팍내고 뭐 바꾸고 뭐하기로 하자 압박을 주잖냐 10년간 너무 타성에 젖어살았던거 아니냐? 위기감없이,0
ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋㅋㅋㅋㅋㅋㅋ 중국,1
ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ 중국 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
