text,label
노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 어릴적 꿈이 용접사였냐?상황이 ㅎㅌㅊ가 되니까 그나마 할만한 용접이나 한거고 하다보니 돈도 되고 존나 힘든데 보람도 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 주제를 알고 살자,1
피파 회장도 보냈잖아.,0
"우리나라였으면 남성1년 집해유예, 엄마 20년 때릴것같네요.  아님말구...",0
와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여,1
가봤는데 11만원정도면 차라리 걍 호텔뷔페감호텔뷔페에 랍스터가없는것도 아니고 그냥그랫음,0
나 안동김씨,0
새로오면 다 그렇게함 열심히 하는티를 팍팍내고 뭐 바꾸고 뭐하기로 하자 압박을 주잖냐 10년간 너무 타성에 젖어살았던거 아니냐? 위기감없이,0
ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ 중국 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
정치인위에 문재앙,1
오이 오이 아부네,0
무게치는거에 인생버린새끼들,1
빌런vs빌런,0
저거 안비싸,0
가세연에서 정규재 위장보수 분탕이라고 좆나깜 ㅋㅋㅋㅋㅋ,1
수술도 남자 의사가 잘한다,0
이봐요 미친놈씨,1
그러나 그건 수치상일뿐 현실은 굉장히 망할 가능성이 높은 나라지,0
여자들 물뽕 처먹여 강간하고 동영상 찍은게 죄가 아니었구나 ㅋㅋ버닝썬이  중국 삼합회 자금 세탁소라면서?,1
이게 여자다,0
키 170 27살 따먹은여자 23명 ㅁㅌㅊ?,1
막상 마주치면 쫄보 새끼 마냥 쳐다도 못 볼 새끼가 조디만 살아가 ㅋㅋㅋ,1
저런 도로에서 정차 하는거 봤냐? 당연히 저상황이면 4p가 아니라 브렘보 조상님이 와도 못세움. 내말은 최소 50키로 이상은 달릴꺼라고 가정하고 같이 도로를 공유하는건데. 시발럼아 그리고 저 사고는 차간거리가 문제가 아니야. 정차가 불가능한 도로에서 선건데 씨발. 참고로 블박차도 무적권 과실은 잡힘. 내가 말하는 적당함이라는건 사회적으로 용납이 가능한 암묵적인 룰 같은거지,1
백종원 음식 너무 자극적임,0
거짓말아니고 소방관들 저런거 존나 흔하다내가 입 털어도 몇 명 구속되겠네개방관들 진짜 개새끼들임,1
우스갯소리로 많이하던거니까,0
박정희만세 문재인 개새끼 김대중씨발새끼 전라도 폭동,1
빠따로 전신마사지해주는데 모든사람들이 너무 기분좋았는지 엎드려서 잠만자더라,1
1절만해라 짤게에 또 글올리지말고 ㅋㅋㅋ,1
이만희총회장님께서 신천지구원으로 전세계에서 몰려 온다 하셨습니다.,0
음.. 유튜브안하니?,0
"누가 따라다니면서, 교통법규위반 계속 신고할듯.",0
와 근데 너가 만약 짤같은 상황에서 성공하면 존나 꼴릴것같다.,1
극혐이노 ㅅㅂ ㅋㅋㅋㅋ,1
난 야동도 교복입은건 안본다 에라이,0
"띤도 최서현 house party 추천 개띵곡",0
개우끼노ㅋㅋㅋㅋㅋㅋㅋㅋ,0
공지이잉 ㅅㅂㅋㅋㅋ,1
내말이 ㅋㅋ 아직 세상물정을 잘 모르는것 같더라...사회생활이 적었나..,0
다른 건 그런데 문씨거는 감동이다,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ,0
강력계 뽑을 때 유도국대출신들 특채 있다 무도특채. 그리고 강력계 들어가면 스스로 권투도장 다님. 아참 레슬링선수출신 특채도 있었음,0
시스템은? 다 지 좆꼴리는대로 무법천지지,1
적당히를 넘어 꽐라될때까지 마셔서 문제지,0
새벽 2시 반에 고소장 제출이 가능한 나라가 세상에 어디있냐,0
창의력 인정,0
일베새끼들은 그냥 무식한거 맞네 ㅋㅋ,1
내가 시키는거 가능? 닭 병신 종북짓한 병신 ㅇㅇ 해봐 ㅋㅋㅋ,1
꺼져라 씨발 검머외 새끼들아,1
"저 사건 판결문 찾아서 봐라 4,000만원 정도 지급 명령 받았음법원이 그렇게 판결 냈다는데 왜 니가 아니라함?니가 노동부 장관이라도 됨?",0
나도 존나맛없어서 다 버리고 햄버거 시킨거 리뷰 올린적 있는데? 내꺼 찾아서 보내도 레전드겠노ㅋㅋㅋㅋ씨발 맛없는 음식점은 다 장사접고 나가 죽어야함,1
"난 프라이드 즐겨봤는데ㅋㅋ 사쿠라바, 고미 다카노리, 반달레이 실바, 노게이라 등등 개추억이네ㅋㅋㅋ 연말에 남제? 이런거로 빅매치뜨고",0
눈주변 시컴한 인간들치고 정상인 없더라,1
대가들...,0
대가리를 밟혀봐야 정신드는 유형,1
왜 연돈만 저지랄이냐? 예전에 그 튀김덮밥집도 존나 칭찬했는데 거기도 줄서냐,1
굳이 한자까지 섞어서 글올리는이유가 머냐ㅋㅋㅋ,0
그 쪽도 매일 그러잖아요. 공적 마스크 시행한다니까 바로 사회주의 타령.,0
심해공포증은없는데 우주공포증있음,0
아~~ 짭ㅈㅎ주고싶다,0
서울은 조선족이 몰리는곳,0
ㄹㅇ ㅇㅂ,0
화산지형이라 나쁘진 않을껄? 강수량 많아서 물 좋음...,0
전라남도 안정권 홍어새끼 좆이나 빠는새끼가 가세연을 까노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
선동질  당하는  니네가  불쌍타 ㅠ,1
제발 못배운티좀 내지말아라,1
2016년 12월 기사를 가져와서 올려놨으면 그 이후 어떻게 되었는지 설명이라도 좀..,0
아니 시발 이걸 정보라고,1
정신 못차렸네,0
자원으로 연명하는 나라라서 교육수준이 ㄱㅆㅎㅌㅊ임,1
굴다리밑 아들 국적이 ㅋㅋㅋㅋ,0
할마시들이 가져가겠지,0
ㄴㄴ 외모가 전부는 아니라고 생각함,0
필리핀은 아예 경찰이 돈을 갈취함 ㅋㅋㅋㅋ,0
개븅신 저능아는 너고 이 병신 새끼야 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
뭐 10조쯤은 껌으로 땅사는 기업도 있는데....,0
고참이 딸려들어간 스티로폼 씹을 때마다 희열을 느끼는 거야 ?,0
딴따라들 노가다 딱한번 뛰고오면 자살같은건 배부른걸 느낄건데,1
연초밥,0
대하이햄만 찾으면 협상 OK,0
어차피 여자는 성공한 남자의 전리품에 불과하다,1
누군들 중동여행 가보고싶지 않겠냐,0
직모는 답없다 그냥 무조건 스포츠짧은머리 모히칸 들어가야된다,0
뚜렛사슴 ㅁㅊㄴㅋㅋㅋㅋ 잘봤다 나도 주위 눈치가보여서그렇지 일본여행가고싶어 죽겠다 추운날 온천담그고싶노,1
번호판 세자리냐?,0
나 거기에다 합성아니라고 했어,0
개새끼가 처음에 잠복한거 다 알아보고 할수없이 놀아주는거네 ㅋㅋ속으로 하...저병신년 또 저지랄이네 했을듯,1
"젖탱이는 인정  자연산에 크기도 존나 크고 모양도  문제는 면상",1
버러지들,1
이게 말이 되냐?,0
금발거유=무뇌 라는 스트레오타입,0
일단은 표현의 자유로 남겨놔야하는 것 같음,0
그럼 20분짜리영상 매일올리면 한달에 600임?,0
그예로 벌써 중국이 마스크를 보내주었구요.,0
우주의 기운이나 받아라 멍충아,1
저건 용접공 비하라기 보단 저성적자들을 비하한거 아닌가?,0
레알 200만원이 2000만원 가치임?,0
한번씩 바람쐬러 일본가는 데 일본 가보니깐 동네마다 복싱 체육관이 있더라 오사카 나니와구 가니깐 존나 후미진 공단에도 복싱체육관있음 진짜 울나라 80년대 쓰던 파랑색 날개 처 돌아가는 선풍기 하나 달린 개거지 같은 체육관에서 복싱하고 있는 거 봤다 개쪽바리 새끼들보면 복싱 엄청 좋아하는 듯복싱만화도 많고 이렇게 복싱 씹덕들이 많으니 발달 할 수 밖에 없는 것 같은데 그래봤자 뭐하냐핵폭탄 처 맞고 살가죽 녹아내린 새끼들인데,1
ㅋㅋㅋㅋㅋㅋㅋ,0
일베줬다. 티비 밑에 받침대 정보좀 줘. 어디꺼임?,0
곧 샤오미에서 85인치 나와서 삼성 바를듯,0
응 결혼해서 애낳는순간 칼각이고 지랄이고 그런 습관 다 없어짐.  돌아서면 아기가 씨발 다 해쳐놓는데 무슨 정리는 얼어죽을 정리,1
그게 팁이있냐?,0
강사도 누구나 함 주둥이만있으면,1
돈 좀 빨아먹으려고,0
진이 과거에도 대놓고 욕했으면 질투로 안보고 열등감으로 안봄 아직도 이해안됨?ㅋㅋㅋㅋㅋㅋ,1
30,0
운지햐라,1
동남아 가면 식중독 많이 걸림 ㅇㅇ 현지인들도 자주 걸리는데 우리보다는 강하더라 ㅋㅋ 길에 파는 음식 재료도 재료지만 사용한 그릇이나 컵을 흐르는 물에 씻지않고 그냥 양동이에 첨벙 담궜다가 걸레로 닦음 ㅋㅋㅋㅋㅋㅋ그리고 개네들 길에서도 쿰쿰한 냄새나는게 그 양동이 물이 못쓸 정도로 더러우면 그냥 길위에다가 부어버림 ㅋㅋㅋㅋㅋㅋㅋ 아 물론 조선에 길거리 음식도 다를바 없다고 생각한다 ㅋ,0
아 이 개병신새끼씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
어허 ~ 이상한 말 하면 안댕,0
지금 맹구는 돈이 얼마들든 사람 구실만하면 다 혜자라 그러는듯,0
아하,0
저래도 찍지 그렇지,0
이름에  존 들어간 애들이 쌔다  제임스는 안됨,0
남양주병. 힘내자,0
나만아니면돼~,0
전라도 홍어년놈들이 주는 거 사주는 거 사양하고 안 먹는 게 가장 안전하다,1
혼전동거와 피임이 진짜 중요한거같은데 우리나라는 동거도 존나 안좋게보고 툭하면 속도위반에.. 성인끼리 만나서 도장찍고 헤어지는거야 진짜 아무것도 아니고 그냥 실수인데 애들은 뭔죄냐 사람이 평생 뒤질때까지 실수하면서 살지만 그 실수로 돌이킬수없는 상처가 남는 실수는 조심해야된다애낳고 하는 이혼도 그런실수고,0
왔어? 안자고 왜 왔어?,0
거기서는 남자들이 디엠보내고 따먹음 ㅇㅇ 너 얼굴이 1차적 공략법이지 다른 방도는 없음 걸레들이 외모 더 따짐,1
저런애들이 아다랑 스시녀 찾았던 거냐?,1
하며 뒷짐지고 싸우는척 하는 웰빙 샛끼들 천지 삐까리란다.,1
딸  너무 걱정하지마~ 사춘기 지나고 철들면 알아서 잘 산다,0
왜??,0
공부못하면 기술배워라는 말이 있잖아.,0
부러우라고 올린거 아니니까,0
화곡동은 뭐냐,0
내가성경대로믿기시작한건 창조과학회김명현박사 영상보고 ...무적권 성경대로 믿기로 한거거등,0
일부러 팔꿈치 좌석밖으로 걸쳐놈 ㅋㅋㅋ,0
저 상황에서 남 목숨 챙기는 병신새끼도있냐 ㅋㅋㅋㅋㅋㅋㅋ,1
경찰 vs 군무원 어떤게 더 낫냐,0
ㄹㅇ 똑같은 업무지시를 해도 사람 진짜 존나 빡치게 만드는 재주가 있음,1
어째 재네들은 제대로된 놈이하나없어,1
물가상승률 고려해라. 20년 지나서 3억이면 지금 시세로 5천만원정도 될꺼다.  너한테 지금 5천만원 물려주고 독립시켜주는거랑 같은 상황.,0
걍 니뽕끼리 전국체전이나 해라 ㅋㅋ,1
틀딱이네 --- 먹을 나이 됐다,1
느개비 인증해라 엠생충새끼야 ㅋ빤스충 엠창새끼 ㅋ,1
일본인들은 한국인이 아직까지 똥술 먹는다고 믿잖아,0
장관 임명권은 대통령한테 있는데 저딴 종이조가리가 뭔 ㅋㅋㅋ 틀니 다 뽑아버릴라,1
일본은 칼을 사면 칼날이 잘 드는지 길가는 사람들을 죽여서 확인했던 풍습이있다.,0
당연히 2017년의 표적이   아닐수도 있겠지,0
저기 어디임?? 저기가 ㄹㅇ 무릉도원 아니겠냐 ㅋㅋ뭐 보면 모델들 데려다 컨셉사진 찍은거 같기도하고  괜히 서양이 공주님 같은 이야기가 있는게 아니네,0
류석춘 교수는 진짜 닮았네 ㅋ,0
ㅇㅇ벽돌날라 김씨,0
ㅇㄷ,0
법이 ㅡㅡ 와일노,0
모르고 당하면 갑작스러운 사태에 혼돈 그 자체일 사람이 얼마나 고통스러울지 생각해봐,0
이란이 통제 당하고 있어서 시위하나 안날거라던 병신새끼들 어디갔노,1
철대패로 저놈들  흑두 네알 싺싹 밀어서모래밭에 파묻고 싶다가능하다면 동작동가서 두개골도 빠사버리고 싶음,1
근데 찍어도 7등급 나오기 힘들다던데어케 해야 7등급 나오냐 ㅋㅋ씨발 그것도 대단하다,1
그래도이새끼..어느정도 친구에뜻을이해햇는지.. 친구들한테 그간미안햇다고 단톡날리며 집들이할테니 와달라고함..,1
남편이 스시남이더만,1
저기도 댓바기지 생략한거임,0
평소일베같지않노? ㅋㅋㅋ 주예지가 물론 잘못한건 맞지만일베도 노가다 혐오 극에 달하는데 ㅋㅋ,0
얼굴이 다른 사람인데?ㅋㅋ,0
무조건 학부를,0
잘 해봐라,0
러시아 맞음 서구권 백인 소아성애자커뮤니티한테 러시아는,0
7등급은 가르쳐서 되는 게 아님. 그냥 멍청한 학생이 안배우는 거임.그리고 그 전에 문과 1등급 vs 이과 7등급 이랬던거 보면 그냥 이과부심 부리면서 주제모르고 나대는 병신일 듯.,1
ㅅㅂ 인구가 준다는데 수도권에 더 많이 살아. 좀 갈사람은 나가라. 특히 586세대들,1
난 내가 코작다고 생각하는데 가족이나 친구들 다 코 크다고 그러더라,0
아니 메시 허락은 안받고 아버지 허락을 처받고있냐 미친 양아치 새기네,1
미친 짱깨년이 양키스 비니쓰고다니네 ㅋㅋㅋ,1
나형 백분위 1은 좀심한거아닌가수시합격하고 친거같음,0
레아 미만잡 ㅋㅋ총밖에 못쓰는년이 공주지위 하나로 오더존나내림,1
두부는 외상으로,0
힘들겠지만 깔끔하게 연락 끊어라여자가 관심있으면 한달안에  연락온다한달 넘어갔을때 연락 없으면 끝 그때도 니가 지금처럼 죽고싶으면 그때 죽어라,0
"그레서 어떡계하라고 ㅡ , ㅡ",0
아`~~~저기 가입된 사람 전자발찌 가자............이런건 전자발찌 가도 국민들이 박수치지 뭐라 안한다...,0
저거 유튜버들 다 찍었어 선동 ㅁㅈㅎ,0
해체가 답이지,0
이제 박사모들이 곧 저 여자 김무성계 김영삼계라며 합리화시킬거임,0
"저거 남자쪽에서도 저렇게 적게 받는건, 매달 나가는 돈 아니까 저렇게 적게 받는 경우가 많음.내 생각에 결혼하기전에 5000만원 정도는 비상금으로 가지고 있어야 함.그리고 결혼하고 생활비 다주더라도 가지고 있떤 5000만원 주식이든 펀드든 뭐든 넣어 불리면서 자산을 만들수 있어야 어디가도 기가 안죽음",0
카엔... 주인공보다 더 꼴림,0
거미누나 부럽습니다,0
그래서? 잘생겼으니 인기끈거고 정치병 유투버도 아니고 지 능력으로 뜬건데 질투라도 해주길 바라냐?ㅋㅋㅋ,1
너의 주장에는 확신만 있고 근거가 없다.,0
대구 경북이 문제,0
능지 병신들임 ㄹㅇ,1
오다기리,0
그정도니까 추첨하는구나..,0
김일성이 중국말 러시아말을 하는 조선족짱깨라메?? 그거 보고 충격먹음 시발 지금 우리가 중국이랑 싸우고 있다는 거자나,1
스티브유 그냥 지들 나라에서 살기를..,0
결제한세끼들도 다 잡아족쳐야지,1
"몽골한테 ""최근에"" 250년간 지배당하고 집단강간을 당했는데 동양피가 하나도 안섞였다고 쌩어거지 떠는 초졸또라이보소 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ. 니가 말하고도 너무 어거지라 좀 부끄럽지?? 엌ㅋㅋㅋㅋㅋㅋ",1
우리개는 안물어요 ㅎㅎ,0
씨벌련이 닉변하고 아침에 올린거 토씨하나 안바꾸고  그대-로 좆중복 조져버리네 씨벌련아 ㅁㅈㅎ,1
이참에 그년 보지나 용접해 버리자,1
곧 남자가 혼자 다 하겠네 ㅉㅉㅉ,1
요즘은 야스오 픽하는 애들 50%의 확률로 잘하더라..,0
재앙이가 낙연이로는 불안한갑다,0
ㅋㅋㅋㅋ.오늘 처음으로 소리내서 웃었다.,0
"참고로 뉘른베르크 유망주 시절에 얘 키워준 감독은 덕배 월클 만들고 14/15 볼북으로 리그 2등, 포칼 우승 시킨 디터 헤킹 ㅋㅋㅋ디터 헤킹 - 위르겐 클롭 (뢰브) - 투헬 - 펩진짜 귄도안 감독복 오짐",0
술먹고 판사새끼 죽여도 무죄,1
자나깨나 정치생각 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
와  최대1만명 수준이면 최소 몇천은 될것같은데....다 잡아서 콩밥은 무슨 자지다썰어야됨.,1
장담하는데 방송이라 종아리라 그런거지 현실에선 젖꼭지임,0
홍어들은 씨를 말려야함,1
NTR 하면 된다 이기 바꿔먹으면 된다 이기,0
오 미키 너와나의 미키 헼 헼 오 미킼!,0
니 애가 불쌍타너욕하는게아니고 진심임애는 뭔죄냐,1
진짜 정신이 나갔네,0
어찌보면 반달이 젤 애매하고 경우따라 더 조심해야될 부류일지도,0
와 이젠 일베할떄 위도 살펴봐야겟네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ경찰이 수습한다고 폰 주웟는데 일베틀어져있으면 ㅈ되겟다,1
저 등치에 은근 발밑좋고 탈압박조음ㅋㅋ 생각해보면 야투랑도 비볐던놈이니까,0
치매,0
난 저러면 좆진지하게 말그대로 답변을 해줌,1
저런집에 자식들 용돈 얼마주냐 그러면대부분이 50씩 쓴다 그럴거다 ㅋ가장이 미성년자 자식한테 용돈 빌려쓰는 괴상핫 집구석,0
성당사진 퍼온 건줄 알았는데 현판같은 거노?,0
음식전부 원단가 솔직히 1만5000원 절대 안넘는다 목아지 건다,0
그게 너가  세상살아가는데   제일 합리적인것 같다,0
작가님,0
그냥 유행이라도 따라가라 자기가 진짜 개성있게 옷잘입는거아니면 유행만 따라가도 반은간다 ㅇㅇ 옷입는거한정,0
내 댓글이 마운트 까는게 주 포인트는 아니긴 했는데나도 마운트 좋아함 하드워커에 에너지풀해서 ㅎㅎㅎㅎ,0
박사야!,0
씨이발,1
세상만사는 니가 생각하는것보다도 훨씬 더 복잡하다.,0
일베는 뭐든지 다 깜 그냥 아가리로 까기만함 ㅋㅋㅋㅋ거기까지 만함 ㅋㅋ 행동 일절 노노 ㅋㅋㅋ,1
글쎄 옆집 아저씨가 사줬나부지뭐,0
나 K2 흑열전차 실제로봤는데 위압감 미쳤음 ㄷㄷ;;K9 자주포 K2 흑열전차 ㅆㅅㅌㅊ 밀덕되는이유를 알겠더라,0
죽여버려야지 저런놈은,1
진짜 본인애니보고 딸치게 생긴 씹덕 얼굴상 얼굴깐글에 욕도 박을수있으니 김치응딩이 ㅅㅌㅊ,1
아가리가 왜저렇냐,1
이건 김성령이지,0
난 재미교포 크리스리 그년은 진짜 느끼면서 하는년임,1
복싱에선 여태 일본이 많이  쳐발렸다..,1
어차피 기존의 항암치료 다 하면서 보조적으로 먹는 것치기 때문에 밥줄 끊길 일 없음. 펜벤다졸만 먹고 암이 호전됐다거나 치료됐다고 하는 사람은 없었다,0
"벤치에서 꿀잠자고있던 아재, 어떤 20대놈이 그 아재 아리랑치기하고 사까시했던 짤방 진짜 쇼킹이었음",0
"ㅋ free radical 과 antioxidant의 균형이 깨져 oxidative stress 가 이뤄지는건데, 니 말마따라 산화과정 자체를 스트레스라고 치면,",0
외과의사 만큼은 최고로 쳐야한다.,0
세스코도 졵나 감당안되는곳은 그냥 물건 싹다버리라거나 포기함,1
엑소 중국놈들이 통수쳐서 그후로 sm에서 중국국적 제대로 안키우더만.  아무튼 아이돌 산업 그거 생 구라 아니냐. 저 새끼들 중에 안쳐대고 다니는 놈 없을걸.  저런데 돈 쓰는게 병신호구지.  유사 연애감정으로 돈 버는 주제에 한번에 임신에 결혼까지 해버리네.당연 팬들 입장에선 빡치지.  아무튼 이런걸 알아서인지 제대로 된 남자는 딱히 좋아하는 연예인 없음.,1
순 연봉만 따지면 비비는데 광고 이런데서 딴 종목이 압살해서 그런듯,0
기술-공대-엔지니어기능-공고-테크니션기능공들은 기술인이라고 구라차지마~,0
이거  ㅇㅂ 주는새끼들좆뉴비새끼들이냐? 본거 또보고 또보고 꾸준히 쳐 올리네.좆망 병신 사이트 ㅉ,1
위조된 신분으로 학교를 들어가다니,0
생물학적으로 번식가능한데 사회화를 위한다는 이유로 억압하고 있는거지,0
3대몇,0
니 꼬치다ㅋㅋㅋ,1
제발좀 잡아가두자~~,0
저 양반은 어쩌다 저리 됐을까요?,0
꼬시다 꼬수워노가다 세끼들 제발 좌파해라 쪽팔린다,1
조국 사태보면 박탈감 느낄만하지 근데 백수새기들은 그냥 노력안해서 취업못하는거,0
언론사어디고?,0
역성장이 아니구,0
얘도 헌법 강의해서 조무사 되면 저 사태 해결 가능함,0
땅콩  사무장양반   중간에   낑기게  한게  더얄미움,1
ㅋㅋㅋㅋㅋㅋ어이가 없노,0
와.... ㄷㄷㄷ비호세력이 있는지 탈탈 털어야됨,0
어휴 조선 새끼들은 그저 꼬투리 잡는건 기집이나 사내 새끼들이나 똑같다. 왠만하면 하는게 용접이니  비유를 한거 가지고 아직도 이지랄들을 하고 자빠졌네,1
개소리ㅁㅈㅎ,1
